Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project_2.PrjPcb|ReportField=ProjectFullPath~E:\2 Gec1\semestre2\Altium\ProjectAltFin\PCB_Project_2.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project_2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~35|ReportField=ReportTime~03:03:52|ReportField=ReportDate~03/04/2022|ReportField=ReportDateTime~03/04/2022 03:03:52|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~02/04/2022|ReportField=CurrentTime~23:05:26|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\2 Gec1\semestre2\Altium\ProjectAltFin\Haut.SchDoc|ReportField=DocumentName~Haut.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~02/04/2022|ReportField=Organization~|ReportField=ProjectName~PCB_Project_2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project_2.PrjPcb|ReportField=DataSourceFullPath~E:\2 Gec1\semestre2\Altium\ProjectAltFin\PCB_Project_2.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap2|Capacitor|C1, C2, C6, C7, C15, C16, C17, C18|RB7.6-15|Cap2|8
2|Cap2|Capacitor|C8, C9, C10, C11, C12, C13, C19, C20|RAD-0.2|Cap2|8
3|Fil-3C|Photosensitive Diode|D2|PIN2|Photo Sen|1
4|Speaker|Loudspeaker|LS1, LS2|PIN2|Speaker|2
5|Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|1
6|Res Tap|Tapped Resistor|R1|VR3|Res Tap|1
7|Res1|Resistor|R2, R3, R4, R5, R6, R7, R8, R9, R10, R11|AXIAL-0.3|Res1|10
8|SW-SPST|Single-Pole, Single-Throw Switch|S1|SPST-2|SW-SPST|1
9|LM386N-4/NOPB|Low Voltage Audio Power Amplifier, 8-pin MDIP, Pb-Free|U2|N08E|LM386N-4/NOPB|1
10|M3005LD|Remote Control Transmitter|U3|SO20_N|M3005LD|1
11|CD4046BCN|Micropower Phase-Locked Loop|U4|N16E|CD4046BCN|1
